Numéro de boucle;Jour;00;01;02;03;04;05;06;07;08;09;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total;Probabilité de présence d'anomalies;Jour de la semaine;Boucle de comptage;Date formatée;Vacances
675;2025-11-01;20;23;17;4;1;3;5;2;8;19;22;45;28;24;36;36;39;35;24;0;0;0;0;0;391;;6;675 - Pont Haudaudine vers Nord;2025-11-01;Vacances de la Toussaint
683;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;683 - pont Anne de Bretagne vers Nord;2025-11-01;Vacances de la Toussaint
673;2025-11-01;9;7;13;1;5;2;3;3;3;2;5;19;16;14;16;22;26;33;23;28;17;12;4;15;298;;6;673 - Pont de Pornic vers Sud;2025-11-01;Vacances de la Toussaint
667;2025-11-01;43;27;24;10;5;9;11;20;21;61;59;88;68;67;84;98;79;103;95;75;50;29;9;24;1159;;6;667 - Entrée pont Audibert vers Nord;2025-11-01;Vacances de la Toussaint
847;2025-11-01;69;47;27;23;16;13;7;8;9;23;30;61;41;63;77;67;105;89;106;107;72;41;43;54;1198;;6;847 - Entrée pont Audibert vers Sud;2025-11-01;Vacances de la Toussaint
890;2025-11-01;45;29;33;11;22;5;10;20;30;49;64;88;85;74;97;109;106;108;137;99;83;37;22;45;1408;;6;890 - Pont de Pirmil vers Sud;2025-11-01;Vacances de la Toussaint
945;2025-11-01;14;27;18;8;3;0;0;2;1;7;9;19;11;16;23;27;35;42;36;43;27;17;11;10;406;;6;945 - Magellan vers Ouest;2025-11-01;Vacances de la Toussaint
979;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;979 - pont des 3 Continents vers Sud;2025-11-01;Vacances de la Toussaint
674;2025-11-01;31;20;12;9;7;1;8;0;0;11;16;25;33;37;23;35;34;37;50;41;32;25;17;28;532;;6;674 - Pont Haudaudine vers Sud;2025-11-01;Vacances de la Toussaint
669;2025-11-01;4;4;3;1;4;0;1;9;7;16;15;19;30;10;23;11;21;30;21;28;12;6;3;5;283;;6;669 - De Gaulle sortie Clémenceau vers Nord;2025-11-01;Vacances de la Toussaint
881;2025-11-01;28;19;17;6;3;5;5;14;15;43;37;59;59;59;73;99;76;82;86;61;47;37;12;20;962;;6;881 - Madeleine vers Sud;2025-11-01;Vacances de la Toussaint
946;2025-11-01;15;10;11;4;6;2;1;5;12;44;31;45;29;34;33;35;35;36;21;31;21;14;4;9;488;;6;946 - Magellan vers Est;2025-11-01;Vacances de la Toussaint
988;2025-11-01;9;1;0;1;1;0;3;3;9;27;33;33;29;31;51;42;40;45;34;61;21;7;10;6;497;;6;988 - Kennedy vers Est;2025-11-01;Vacances de la Toussaint
682;2025-11-01;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;6;682 - pont Anne de Bretagne vers Sud;2025-11-01;Vacances de la Toussaint
785;2025-11-01;81;42;32;17;11;7;9;12;23;49;62;95;75;80;97;101;124;120;106;100;79;41;46;45;1454;;6;785 - 50 Otages Vers Sud;2025-11-01;Vacances de la Toussaint
725;2025-11-01;4;2;3;1;2;1;0;0;4;5;11;14;21;14;20;12;13;21;8;13;13;12;7;1;202;;6;725 - Pont Tabarly vers Sud;2025-11-01;Vacances de la Toussaint
673;2025-11-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Forte;6;673 - Pont de Pornic vers Sud;2025-11-01;Vacances de la Toussaint
880;2025-11-01;45;29;19;13;11;5;10;4;13;9;25;35;32;51;58;60;71;80;75;71;48;30;27;33;854;;6;880 - Madeleine vers Nord;2025-11-01;Vacances de la Toussaint
947;2025-11-01;0;0;0;1;0;0;0;0;3;3;12;3;8;4;15;16;27;29;12;5;0;2;1;1;142;;6;947 - Bd Malakoff vers Ouest;2025-11-01;Vacances de la Toussaint
989;2025-11-01;32;22;17;13;8;7;10;16;16;10;29;40;44;38;43;37;50;78;53;46;21;19;26;21;696;;6;989 - Kennedy vers Ouest;2025-11-01;Vacances de la Toussaint
995;2025-11-01;13;11;3;0;2;2;3;6;5;34;28;38;23;23;34;46;35;45;37;35;21;8;5;7;464;;6;995 - Ceineray vers Ouest;2025-11-01;Vacances de la Toussaint
945;2025-10-31;8;1;1;2;2;4;4;14;53;29;7;24;32;27;30;45;28;94;61;57;32;22;33;31;641;;5;945 - Magellan vers Ouest;2025-10-31;Vacances de la Toussaint
980;2025-10-31;0;0;0;0;0;1;0;1;3;1;2;2;1;2;1;2;0;5;1;3;3;4;0;0;32;;5;980 - Pont Tabarly vers Sud;2025-10-31;Vacances de la Toussaint
994;2025-10-31;24;3;1;3;3;2;5;16;43;19;12;7;33;28;21;38;40;104;88;33;21;12;24;30;610;;5;994 - Ceineray vers Est;2025-10-31;Vacances de la Toussaint
681;2025-10-31;17;7;6;1;2;0;11;12;36;20;8;15;40;30;36;28;32;104;77;47;39;32;37;28;665;;5;681 - Stalingrad vers est;2025-10-31;Vacances de la Toussaint
673;2025-10-31;7;2;3;0;2;5;8;37;54;39;11;16;34;25;24;38;50;98;70;45;16;15;16;12;627;;5;673 - Pont de Pornic vers Sud;2025-10-31;Vacances de la Toussaint
673;2025-10-31;9;3;2;0;2;2;8;39;59;40;13;12;33;29;24;40;52;104;78;53;19;20;19;10;670;;5;673 - Pont de Pornic vers Sud;2025-10-31;Vacances de la Toussaint
665;2025-10-31;3;2;2;0;2;5;12;55;102;54;27;48;46;36;42;34;28;75;66;43;42;16;17;16;773;;5;665 - Bonduelle vers Nord;2025-10-31;Vacances de la Toussaint
743;2025-10-31;13;10;4;0;1;3;3;53;139;86;26;28;42;63;65;64;66;114;113;99;61;36;38;38;1165;;5;743 - Philippot vers ouest;2025-10-31;Vacances de la Toussaint
683;2025-10-31;;;;;;;;;;;;;;;;;;;;;;;;;0;Forte;5;683 - pont Anne de Bretagne vers Nord;2025-10-31;Vacances de la Toussaint
